Country,Year,GDP_Growth
Brunei Darussalam,2009,-1.8
Brunei Darussalam,2010,2.59821243
Brunei Darussalam,2011,3.744406389
Brunei Darussalam,2012,0.913135324
Brunei Darussalam,2013,-2.124775975
Brunei Darussalam,2014,-2.5
Brunei Darussalam,2015,-0.392383489
Brunei Darussalam,2016,-2.477917765
Brunei Darussalam,2017,1.328512599
Brunei Darussalam,2018,0.052326392
Cambodia,2009,0.083717036
Cambodia,2010,5.973790604
Cambodia,2011,7.061106361
Cambodia,2012,7.261322742
Cambodia,2013,7.480003653
Cambodia,2014,7.071525352
Cambodia,2015,7.036087179
Cambodia,2016,6.882578402
Cambodia,2017,7.163602371
Cambodia,2018,7.497963508
Indonesia,2009,4.62887549
Indonesia,2010,6.223850889
Indonesia,2011,6.48563284
Indonesia,2012,6.263410829
Indonesia,2013,5.557263689
Indonesia,2014,5.006668426
Indonesia,2015,4.8763223
Indonesia,2016,5.033069183
Indonesia,2017,5.067406366
Indonesia,2018,5.171270328
Lao PDR,2009,7.501950058
Lao PDR,2010,8.131040875
Lao PDR,2011,8.040488354
Lao PDR,2012,7.9
Lao PDR,2013,8.025977209
Lao PDR,2014,7.6
Lao PDR,2015,7.269871721
Lao PDR,2016,7.022836255
Lao PDR,2017,6.851061473
Lao PDR,2018,6.288873067
Malaysia,2009,-1.513682716
Malaysia,2010,7.4
Malaysia,2011,5.293784657
Malaysia,2012,5.473454192
Malaysia,2013,4.69372252
Malaysia,2014,6.00672195
Malaysia,2015,5.037534571
Malaysia,2016,4.449781419
Malaysia,2017,5.741812859
Malaysia,2018,4.741572985
Myanmar,2009,10.54963247
Myanmar,2010,9.634640836
Myanmar,2011,5.591450293
Myanmar,2012,7.332700014
Myanmar,2013,8.425908426
Myanmar,2014,7.991243344
Myanmar,2015,6.99251349
Myanmar,2016,5.862396891
Myanmar,2017,6.758707571
Myanmar,2018,6.8
Philippines,2009,1.148332219
Philippines,2010,7.63226478
Philippines,2011,3.7
Philippines,2012,6.683827156
Philippines,2013,7.064015959
Philippines,2014,6.145182482
Philippines,2015,6.066594376
Philippines,2016,6.884126328
Philippines,2017,6.677553566
Philippines,2018,6.243737742
Singapore,2009,-0.604057847
Singapore,2010,15.23969542
Singapore,2011,6.225958556
Singapore,2012,4.1
Singapore,2013,5.1
Singapore,2014,3.9
Singapore,2015,2.2
Singapore,2016,2.962327259
Singapore,2017,3.699781577
Singapore,2018,3.139464543
Thailand,2009,-0.690733346
Thailand,2010,7.513590658
Thailand,2011,0.839959472
Thailand,2012,7.242786605
Thailand,2013,2.687379919
Thailand,2014,0.984414064
Thailand,2015,3.133896962
Thailand,2016,3.356488872
Thailand,2017,4.024085781
Thailand,2018,4.129226103
Vietnam,2009,5.39787145
Vietnam,2010,6.423267376
Vietnam,2011,6.240295259
Vietnam,2012,5.247367111
Vietnam,2013,5.421873799
Vietnam,2014,5.983634849
Vietnam,2015,6.67930813
Vietnam,2016,6.210812203
Vietnam,2017,6.812225841
Vietnam,2018,7.075796698
